>> exampleexperiment
  f1 in 2-D, instance 1: FEs=100 with 0 restarts, fbest-ftarget=3.8257e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 2: FEs=100 with 0 restarts, fbest-ftarget=4.4496e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 3: FEs=100 with 0 restarts, fbest-ftarget=8.6900e-02, elapsed time [h]: 0.00
  f1 in 2-D, instance 4: FEs=100 with 0 restarts, fbest-ftarget=5.5536e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 5: FEs=100 with 0 restarts, fbest-ftarget=3.9214e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 6: FEs=100 with 0 restarts, fbest-ftarget=1.6992e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 7: FEs=100 with 0 restarts, fbest-ftarget=6.7044e-02, elapsed time [h]: 0.00
  f1 in 2-D, instance 8: FEs=100 with 0 restarts, fbest-ftarget=1.5530e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 9: FEs=100 with 0 restarts, fbest-ftarget=1.8278e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 10: FEs=100 with 0 restarts, fbest-ftarget=5.5958e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 11: FEs=100 with 0 restarts, fbest-ftarget=1.0009e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 12: FEs=100 with 0 restarts, fbest-ftarget=1.4106e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 13: FEs=100 with 0 restarts, fbest-ftarget=1.0257e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 14: FEs=100 with 0 restarts, fbest-ftarget=1.7922e-01, elapsed time [h]: 0.00
  f1 in 2-D, instance 15: FEs=100 with 0 restarts, fbest-ftarget=5.6447e-01, elapsed time [h]: 0.00
      date and time: 2021    3   30   21   36   50
  f2 in 2-D, instance 1: FEs=100 with 0 restarts, fbest-ftarget=5.2160e+02, elapsed time [h]: 0.00
  f2 in 2-D, instance 2: FEs=100 with 0 restarts, fbest-ftarget=1.5567e+04, elapsed time [h]: 0.00
  f2 in 2-D, instance 3: FEs=100 with 0 restarts, fbest-ftarget=1.6400e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 4: FEs=100 with 0 restarts, fbest-ftarget=1.8267e+01, elapsed time [h]: 0.00
  f2 in 2-D, instance 5: FEs=100 with 0 restarts, fbest-ftarget=1.8827e+02, elapsed time [h]: 0.00
  f2 in 2-D, instance 6: FEs=100 with 0 restarts, fbest-ftarget=8.0627e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 7: FEs=100 with 0 restarts, fbest-ftarget=1.6811e+02, elapsed time [h]: 0.00
  f2 in 2-D, instance 8: FEs=100 with 0 restarts, fbest-ftarget=2.0530e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 9: FEs=100 with 0 restarts, fbest-ftarget=1.0189e+02, elapsed time [h]: 0.00
  f2 in 2-D, instance 10: FEs=100 with 0 restarts, fbest-ftarget=9.7453e+03, elapsed time [h]: 0.00
  f2 in 2-D, instance 11: FEs=100 with 0 restarts, fbest-ftarget=2.0680e+02, elapsed time [h]: 0.00
  f2 in 2-D, instance 12: FEs=100 with 0 restarts, fbest-ftarget=2.2870e+01, elapsed time [h]: 0.00
  f2 in 2-D, instance 13: FEs=100 with 0 restarts, fbest-ftarget=3.9792e+01, elapsed time [h]: 0.00
  f2 in 2-D, instance 14: FEs=100 with 0 restarts, fbest-ftarget=3.2213e+01, elapsed time [h]: 0.00
  f2 in 2-D, instance 15: FEs=100 with 0 restarts, fbest-ftarget=6.5689e+02, elapsed time [h]: 0.00
      date and time: 2021    3   30   21   36   51
  f3 in 2-D, instance 1: FEs=100 with 0 restarts, fbest-ftarget=4.9771e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 2: FEs=100 with 0 restarts, fbest-ftarget=7.7668e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 3: FEs=100 with 0 restarts, fbest-ftarget=1.7263e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 4: FEs=100 with 0 restarts, fbest-ftarget=1.1173e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 5: FEs=100 with 0 restarts, fbest-ftarget=1.0142e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 6: FEs=100 with 0 restarts, fbest-ftarget=9.6026e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 7: FEs=100 with 0 restarts, fbest-ftarget=1.4024e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 8: FEs=100 with 0 restarts, fbest-ftarget=6.9005e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 9: FEs=100 with 0 restarts, fbest-ftarget=1.1979e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 10: FEs=100 with 0 restarts, fbest-ftarget=5.1948e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 11: FEs=100 with 0 restarts, fbest-ftarget=6.3066e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 12: FEs=100 with 0 restarts, fbest-ftarget=7.1246e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 13: FEs=100 with 0 restarts, fbest-ftarget=1.6100e+01, elapsed time [h]: 0.00
  f3 in 2-D, instance 14: FEs=100 with 0 restarts, fbest-ftarget=3.2839e+00, elapsed time [h]: 0.00
  f3 in 2-D, instance 15: FEs=100 with 0 restarts, fbest-ftarget=1.0193e+00, elapsed time [h]: 0.00
      date and time: 2021    3   30   21   36   51
  f4 in 2-D, instance 1: FEs=100 with 0 restarts, fbest-ftarget=1.6624e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 2: FEs=100 with 0 restarts, fbest-ftarget=2.0020e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 3: FEs=100 with 0 restarts, fbest-ftarget=3.8785e+00, elapsed time [h]: 0.00
  f4 in 2-D, instance 4: FEs=100 with 0 restarts, fbest-ftarget=1.1173e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 5: FEs=100 with 0 restarts, fbest-ftarget=2.2210e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 6: FEs=100 with 0 restarts, fbest-ftarget=1.2587e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 7: FEs=100 with 0 restarts, fbest-ftarget=9.0009e+00, elapsed time [h]: 0.00
  f4 in 2-D, instance 8: FEs=100 with 0 restarts, fbest-ftarget=7.1789e+00, elapsed time [h]: 0.00
  f4 in 2-D, instance 9: FEs=100 with 0 restarts, fbest-ftarget=1.6040e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 10: FEs=100 with 0 restarts, fbest-ftarget=1.9986e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 11: FEs=100 with 0 restarts, fbest-ftarget=1.8339e+00, elapsed time [h]: 0.00
  f4 in 2-D, instance 12: FEs=100 with 0 restarts, fbest-ftarget=1.0307e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 13: FEs=100 with 0 restarts, fbest-ftarget=1.9869e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 14: FEs=100 with 0 restarts, fbest-ftarget=1.0455e+01, elapsed time [h]: 0.00
  f4 in 2-D, instance 15: FEs=100 with 0 restarts, fbest-ftarget=6.0860e+00, elapsed time [h]: 0.00
      date and time: 2021    3   30   21   36   51
  f5 in 2-D, instance 1: FEs=100 with 0 restarts, fbest-ftarget=1.2292e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 2: FEs=100 with 0 restarts, fbest-ftarget=1.9721e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 3: FEs=100 with 0 restarts, fbest-ftarget=3.9756e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 4: FEs=100 with 0 restarts, fbest-ftarget=3.9756e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 5: FEs=100 with 0 restarts, fbest-ftarget=1.2292e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 6: FEs=100 with 0 restarts, fbest-ftarget=1.2292e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 7: FEs=100 with 0 restarts, fbest-ftarget=3.9756e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 8: FEs=100 with 0 restarts, fbest-ftarget=4.1673e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 9: FEs=100 with 0 restarts, fbest-ftarget=3.9756e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 10: FEs=100 with 0 restarts, fbest-ftarget=1.2292e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 11: FEs=100 with 0 restarts, fbest-ftarget=1.9721e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 12: FEs=100 with 0 restarts, fbest-ftarget=3.9756e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 13: FEs=100 with 0 restarts, fbest-ftarget=1.2292e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 14: FEs=100 with 0 restarts, fbest-ftarget=1.9721e+00, elapsed time [h]: 0.00
  f5 in 2-D, instance 15: FEs=100 with 0 restarts, fbest-ftarget=1.9721e+00, elapsed time [h]: 0.00
      date and time: 2021    3   30   21   36   52
  f6 in 2-D, instance 1: FEs=100 with 0 restarts, fbest-ftarget=9.0099e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 2: FEs=100 with 0 restarts, fbest-ftarget=5.1784e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 3: FEs=100 with 0 restarts, fbest-ftarget=2.7376e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 4: FEs=100 with 0 restarts, fbest-ftarget=1.3302e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 5: FEs=100 with 0 restarts, fbest-ftarget=1.5581e-01, elapsed time [h]: 0.00
  f6 in 2-D, instance 6: FEs=100 with 0 restarts, fbest-ftarget=2.2752e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 7: FEs=100 with 0 restarts, fbest-ftarget=3.1056e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 8: FEs=100 with 0 restarts, fbest-ftarget=2.9424e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 9: FEs=100 with 0 restarts, fbest-ftarget=1.5995e-01, elapsed time [h]: 0.00
  f6 in 2-D, instance 10: FEs=100 with 0 restarts, fbest-ftarget=3.7556e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 11: FEs=100 with 0 restarts, fbest-ftarget=5.1084e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 12: FEs=100 with 0 restarts, fbest-ftarget=1.2535e+01, elapsed time [h]: 0.00
  f6 in 2-D, instance 13: FEs=100 with 0 restarts, fbest-ftarget=5.4205e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 14: FEs=100 with 0 restarts, fbest-ftarget=1.3431e+00, elapsed time [h]: 0.00
  f6 in 2-D, instance 15: FEs=100 with 0 restarts, fbest-ftarget=1.3408e+00, elapsed time [h]: 0.00
      date and time: 2021    3   30   21   36   52
  f7 in 2-D, instance 1: FEs=100 with 0 restarts, fbest-ftarget=6.0092e-01, elapsed time [h]: 0.00
  f7 in 2-D, instance 2: FEs=100 with 0 restarts, fbest-ftarget=2.6425e+00, elapsed time [h]: 0.00
  f7 in 2-D, instance 3: FEs=100 with 0 restarts, fbest-ftarget=1.2807e-01, elapsed time [h]: 0.00
  f7 in 2-D, instance 4: FEs=100 with 0 restarts, fbest-ftarget=7.6298e-01, elapsed time [h]: 0.00
  f7 in 2-D, instance 5: FEs=100 with 0 restarts, fbest-ftarget=4.9497e-01, elapsed time [h]: 0.00
  f7 in 2-D, instance 6: FEs=100 with 0 restarts, fbest-ftarget=1.5628e+00, elapsed time [h]: 0.00
